games,gxe,elo,rd
215,89.7,2320,26.0
215,89.7,2320,26.0
215,89.7,2320,26.0
216,89.8,2337,25.9
216,89.8,2337,25.9
216,89.8,2337,25.9
216,89.8,2337,25.9
217,89.9,2349,25.8
217,89.9,2349,25.8
217,89.9,2349,25.8
218,89.8,2315,25.8
218,89.8,2315,25.8
218,89.8,2315,25.8
218,89.8,2315,25.8
219,89.6,2290,25.7
220,89.7,2304,25.6
220,89.7,2304,25.6
220,89.7,2304,25.6
220,89.7,2304,25.6
220,89.7,2304,25.6
221,89.8,2322,25.5
221,89.8,2322,25.5
221,89.8,2322,25.5
221,89.8,2322,25.5
222,89.7,2294,25.5
222,89.7,2294,25.5
222,89.7,2294,25.5
222,89.7,2294,25.5
222,89.7,2294,25.5
222,89.7,2294,25.5
223,89.6,2271,25.4
223,89.6,2271,25.4
224,89.5,2245,25.3
224,89.5,2245,25.3
224,89.5,2245,25.3
225,89.6,2263,25.3
226,89.6,2278,25.2
226,89.6,2278,25.2
226,89.6,2278,25.2
227,89.5,2250,25.1
227,89.5,2250,25.1
228,89.6,2268,25.1
228,89.6,2268,25.1
229,89.5,2245,25.0
229,89.5,2245,25.0
229,89.5,2245,25.0
230,89.4,2226,25.0
230,89.4,2226,25.0
