games,gxe,elo,rd
142,90.8,2382,32.9
143,90.7,2354,32.8
143,90.7,2354,32.8
143,90.7,2354,32.8
143,90.7,2354,32.8
143,90.7,2354,32.8
144,90.6,2341,32.8
144,90.6,2341,32.8
144,90.6,2341,32.8
144,90.6,2341,32.8
145,90.5,2321,32.7
145,90.5,2321,32.7
145,90.5,2321,32.7
146,90.7,2328,32.6
146,90.7,2328,32.6
146,90.7,2328,32.6
146,90.7,2328,32.6
147,90.8,2342,32.6
147,90.8,2342,32.6
147,90.8,2342,32.6
147,90.8,2342,32.6
147,90.8,2342,32.6
148,90.8,2323,32.5
148,90.8,2323,32.5
149,90.7,2301,32.5
149,90.7,2301,32.5
150,90.6,2278,32.4
150,90.6,2278,32.4
151,90.8,2292,32.4
151,90.8,2292,32.4
151,90.8,2292,32.4
152,90.7,2274,32.3
152,90.7,2274,32.3
153,90.8,2290,32.2
153,90.8,2290,32.2
153,90.8,2290,32.2
154,91,2303,32.2
154,91,2303,32.2
154,91,2303,32.2
154,91,2303,32.2
154,91,2303,32.2
155,90.9,2286,32.1
155,90.9,2286,32.1
155,90.9,2286,32.1
155,90.9,2286,32.1
156,91.1,2308,32.1
156,91.1,2308,32.1
157,91,2283,32.0
157,91,2283,32.0
157,91,2283,32.0
158,91.1,2300,31.9
159,91.2,2316,31.8
159,91.2,2316,31.8
159,91.2,2316,31.8
160,91.4,2334,31.8
160,91.4,2334,31.8
161,91.3,2323,31.8
161,91.3,2323,31.8
162,91.3,2293,31.7
162,91.3,2293,31.7
162,91.3,2293,31.7
163,91.2,2274,31.7
163,91.2,2274,31.7
163,91.2,2274,31.7
164,91.1,2257,31.6
164,91.1,2257,31.6
165,91,2211,32.9
165,91,2211,32.9
166,91.1,2228,32.8
166,91.1,2228,32.8
166,91.1,2228,32.8
167,90.9,2208,32.7
168,90.7,2180,32.5
168,90.7,2180,32.5
168,90.7,2180,32.5
168,90.7,2180,32.5
168,90.7,2180,32.5
168,90.7,2180,32.5
169,90.8,2202,32.4
169,90.8,2202,32.4
170,90.9,2219,32.3
170,90.9,2219,32.3
170,90.9,2219,32.3
170,90.9,2219,32.3
171,91,2245,32.2
171,91,2245,32.2
172,91.1,2261,32.0
172,91.1,2261,32.0
172,91.1,2261,32.0
173,90.9,2232,31.9
173,90.9,2232,31.9
173,90.9,2232,31.9
174,90.8,2209,31.8
175,90.6,2194,31.7
175,90.6,2194,31.7
175,90.6,2194,31.7
176,90.7,2205,31.6
176,90.7,2205,31.6
177,90.8,2221,31.4
177,90.8,2221,31.4
177,90.8,2221,31.4
178,90.7,2203,31.3
178,90.7,2203,31.3
179,90.8,2221,31.2
179,90.8,2221,31.2
179,90.8,2221,31.2
180,90.6,2199,31.1
180,90.6,2199,31.1
181,90.7,2218,31.0
181,90.7,2218,31.0
181,90.7,2218,31.0
182,90.8,2232,30.9
182,90.8,2232,30.9
182,90.8,2232,30.9
183,90.6,2209,30.7
183,90.6,2209,30.7
183,90.6,2209,30.7
183,90.6,2209,30.7
183,90.6,2209,30.7
184,90.5,2185,30.6
184,90.5,2185,30.6
184,90.5,2185,30.6
184,90.5,2185,30.6
184,90.5,2185,30.6
184,90.5,2185,30.6
185,90.3,2157,30.5
185,90.3,2157,30.5
186,90.4,2178,30.4
186,90.4,2178,30.4
187,90.5,2195,30.3
187,90.5,2195,30.3
188,90.4,2176,30.2
188,90.4,2176,30.2
188,90.4,2176,30.2
189,90.5,2200,30.1
189,90.5,2200,30.1
190,90.6,2216,30.0
191,90.7,2235,29.9
191,90.7,2235,29.9
191,90.7,2235,29.9
191,90.7,2235,29.9
191,90.7,2235,29.9
191,90.7,2235,29.9
191,90.7,2235,29.9
191,90.7,2235,29.9
192,90.8,2250,29.8
192,90.8,2250,29.8
192,90.8,2250,29.8
193,90.9,2269,29.7
193,90.9,2269,29.7
193,90.9,2269,29.7
194,90.7,2246,29.6
194,90.7,2246,29.6
194,90.7,2246,29.6
194,90.7,2246,29.6
195,90.8,2268,29.5
195,90.8,2268,29.5
195,90.8,2268,29.5
195,90.8,2268,29.5
196,90.7,2250,29.4
196,90.7,2250,29.4
196,90.7,2250,29.4
196,90.7,2250,29.4
197,90.6,2222,29.3
197,90.6,2222,29.3
197,90.6,2222,29.3
198,90.4,2200,29.2
198,90.4,2200,29.2
198,90.4,2200,29.2
199,90.3,2180,29.1
200,90.4,2203,29.0
200,90.4,2203,29.0
200,90.4,2203,29.0
201,90.3,2176,28.9
201,90.3,2176,28.9
202,90.4,2203,28.8
202,90.4,2203,28.8
203,90.5,2227,28.7
203,90.5,2227,28.7
203,90.5,2227,28.7
204,90.5,2243,28.6
204,90.5,2243,28.6
205,90.6,2264,28.5
205,90.6,2264,28.5
205,90.6,2264,28.5
206,90.5,2240,28.4
206,90.5,2240,28.4
207,90.6,2257,28.4
207,90.6,2257,28.4
208,90.7,2275,28.3
208,90.7,2275,28.3
209,90.8,2299,28.2
209,90.8,2299,28.2
209,90.8,2299,28.2
210,90.9,2319,28.1
210,90.9,2319,28.1
211,90.9,2337,28.0
211,90.9,2337,28.0
211,90.9,2337,28.0
211,90.9,2337,28.0
212,91,2349,27.9
212,91,2349,27.9
212,91,2349,27.9
213,90.9,2326,27.8
213,90.9,2326,27.8
214,90.8,2304,27.7
214,90.8,2304,27.7
214,90.8,2304,27.7
214,90.8,2304,27.7
215,90.9,2320,27.7
215,90.9,2320,27.7
215,90.9,2320,27.7
215,90.9,2320,27.7
216,91,2341,27.6
216,91,2341,27.6
216,91,2341,27.6
216,91,2341,27.6
216,91,2341,27.6
216,91,2341,27.6
217,90.8,2312,27.9
217,90.8,2312,27.9
217,90.8,2312,27.9
217,90.8,2312,27.9
218,90.7,2285,27.8
218,90.7,2285,27.8
219,90.8,2305,27.8
219,90.8,2305,27.8
220,90.9,2317,27.7
220,90.9,2317,27.7
220,90.9,2317,27.7
221,91,2333,27.6
221,91,2333,27.6
221,91,2333,27.6
221,91,2333,27.6
222,91.1,2346,27.5
222,91.1,2346,27.5
222,91.1,2346,27.5
222,91.1,2346,27.5
223,91,2323,27.4
223,91,2323,27.4
223,91,2323,27.4
223,91,2323,27.4
224,90.8,2293,27.3
224,90.8,2293,27.3
224,90.8,2293,27.3
225,90.9,2307,27.3
225,90.9,2307,27.3
225,90.9,2307,27.3
226,91,2321,27.2
226,91,2321,27.2
227,91.1,2339,27.1
227,91.1,2339,27.1
228,91.2,2345,27.0
228,91.2,2345,27.0
228,91.2,2345,27.0
229,91.2,2355,26.9
229,91.2,2355,26.9
230,91.3,2365,26.9
230,91.3,2365,26.9
230,91.3,2365,26.9
230,91.3,2365,26.9
230,91.3,2365,26.9
231,91.4,2378,26.8
231,91.4,2378,26.8
231,91.4,2378,26.8
232,91.4,2388,26.7
232,91.4,2388,26.7
232,91.4,2388,26.7
233,91.5,2400,26.6
233,91.5,2400,26.6
234,91.4,2377,26.6
234,91.4,2377,26.6
234,91.4,2377,26.6
235,91.3,2352,26.5
235,91.3,2352,26.5
235,91.3,2352,26.5
236,91.4,2362,26.4
236,91.4,2362,26.4
237,91.3,2337,26.3
237,91.3,2337,26.3
238,91.2,2319,26.3
238,91.2,2319,26.3
239,91.3,2335,26.2
239,91.3,2335,26.2
239,91.3,2335,26.2
239,91.3,2335,26.2
239,91.3,2335,26.2
240,91.1,2311,26.1
240,91.1,2311,26.1
241,91.2,2321,26.1
241,91.2,2321,26.1
241,91.2,2321,26.1
242,91.3,2336,26.0
242,91.3,2336,26.0
243,91.3,2349,25.9
243,91.3,2349,25.9
243,91.3,2349,25.9
243,91.3,2349,25.9
244,91.4,2366,25.9
244,91.4,2366,25.9
244,91.4,2366,25.9
245,91.5,2382,25.8
245,91.5,2382,25.8
245,91.5,2382,25.8
247,91.3,2328,25.7
247,91.3,2328,25.7
247,91.3,2328,25.7
247,91.3,2328,25.7
247,91.3,2328,25.7
247,91.3,2328,25.7
248,91.4,2347,25.6
248,91.4,2347,25.6
248,91.4,2347,25.6
249,91.4,2363,25.5
249,91.4,2363,25.5
249,91.4,2363,25.5
250,91.3,2333,25.5
250,91.3,2333,25.5
251,91.4,2351,25.4
251,91.4,2351,25.4
252,91.3,2328,25.3
253,91.4,2338,25.3
253,91.4,2338,25.3
253,91.4,2338,25.3
253,91.4,2338,25.3
253,91.4,2338,25.3
253,91.4,2338,25.3
254,91.4,2353,25.2
254,91.4,2353,25.2
255,91.5,2371,25.2
255,91.5,2371,25.2
255,91.5,2371,25.2
256,91.6,2384,25.1
256,91.6,2384,25.1
257,91.7,2399,25.0
257,91.7,2399,25.0
257,91.7,2399,25.0
258,91.6,2366,25.0
258,91.6,2366,25.0
258,91.6,2366,25.0
258,91.6,2366,25.0
259,91.5,2343,25.0
260,91.4,2321,25.0
260,91.4,2321,25.0
260,91.4,2321,25.0
261,91.3,2292,25.0
261,91.3,2292,25.0
261,91.3,2292,25.0
262,91.4,2308,25.0
263,91.4,2319,25.0
263,91.4,2319,25.0
263,91.4,2319,25.0
263,91.4,2319,25.0
263,91.4,2319,25.0
263,91.4,2319,25.0
264,91.4,2300,25.0
264,91.4,2300,25.0
264,91.4,2300,25.0
264,91.4,2300,25.0
264,91.4,2300,25.0
265,91.3,2284,25.0
266,91.4,2301,25.0
266,91.4,2301,25.0
267,91.3,2284,25.0
267,91.3,2284,25.0
268,91.2,2269,25.0
268,91.2,2269,25.0
268,91.2,2269,25.0
269,91.1,2242,25.0
269,91.1,2242,25.0
270,91.1,2230,25.0
271,91.1,2249,25.0
271,91.1,2249,25.0
271,91.1,2249,25.0
